File,Gaussian_Peak_Count
brachyrynchos_00001_1.wav,2
brachyrynchos_00002_1.wav,2
brachyrynchos_00003_1.wav,5
brachyrynchos_00005_1.wav,9
brachyrynchos_00006_1.wav,8
brachyrynchos_00006_2.wav,1
brachyrynchos_00006_3.wav,3
brachyrynchos_00007_1.wav,4
brachyrynchos_00007_2.wav,10
brachyrynchos_00008_1.wav,0
brachyrynchos_00009_1.wav,18
brachyrynchos_00010_1.wav,5
brachyrynchos_00011_1.wav,5
brachyrynchos_00011_2.wav,2
brachyrynchos_00012_1.wav,2
brachyrynchos_00012_2.wav,1
brachyrynchos_00012_3.wav,1
brachyrynchos_00012_4.wav,2
brachyrynchos_00013_1.wav,6
brachyrynchos_00013_2.wav,1
brachyrynchos_00013_3.wav,6
brachyrynchos_00014_1.wav,7
brachyrynchos_00015_1.wav,6
brachyrynchos_00016_1.wav,4
brachyrynchos_00017_1.wav,2
brachyrynchos_00018_1.wav,3
brachyrynchos_00018_2.wav,3
brachyrynchos_00019_1.wav,4
brachyrynchos_00020_1.wav,7
brachyrynchos_00020_2.wav,3
brachyrynchos_00020_3.wav,9
brachyrynchos_00021_1.wav,24
brachyrynchos_00022_1.wav,5
brachyrynchos_00023_1.wav,3
brachyrynchos_00024_1.wav,5
brachyrynchos_00024_2.wav,5
brachyrynchos_00024_3.wav,3
brachyrynchos_00025_1.wav,4
brachyrynchos_00025_2.wav,4
brachyrynchos_00025_3.wav,4
brachyrynchos_00026_1.wav,2
brachyrynchos_00031_1.wav,4
brachyrynchos_00033_1.wav,17
brachyrynchos_00034_1.wav,2
brachyrynchos_00035_1.wav,7
brachyrynchos_00035_2.wav,13
brachyrynchos_00035_3.wav,1
brachyrynchos_00035_4.wav,3
brachyrynchos_00035_5.wav,1
brachyrynchos_00036_1.wav,4
brachyrynchos_00037_1.wav,9
brachyrynchos_00039_1.wav,7
brachyrynchos_00040_1.wav,5
brachyrynchos_00041_1.wav,5
brachyrynchos_00042_1.wav,5
brachyrynchos_00043_1.wav,4
brachyrynchos_00043_2.wav,2
brachyrynchos_00044_1.wav,6
brachyrynchos_00044_2.wav,2
brachyrynchos_00044_3.wav,4
brachyrynchos_00045_1.wav,4
brachyrynchos_00046_1.wav,6
brachyrynchos_00047_1.wav,6
brachyrynchos_00048_1.wav,5
brachyrynchos_00048_2.wav,4
brachyrynchos_00048_3.wav,5
brachyrynchos_00048_4.wav,6
brachyrynchos_00049_1.wav,2
brachyrynchos_00050_1.wav,1
brachyrynchos_00051_1.wav,4
brachyrynchos_00051_2.wav,2
brachyrynchos_00051_3.wav,12
brachyrynchos_00051_4.wav,3
brachyrynchos_00051_5.wav,7
brachyrynchos_00051_6.wav,2
brachyrynchos_00051_7.wav,2
brachyrynchos_00051_8.wav,5
brachyrynchos_00052_1.wav,4
brachyrynchos_00053_1.wav,1
brachyrynchos_00053_2.wav,2
brachyrynchos_00054_1.wav,4
brachyrynchos_00055_1.wav,4
brachyrynchos_00055_2.wav,2
brachyrynchos_00055_3.wav,0
brachyrynchos_00055_4.wav,1
brachyrynchos_00056_1.wav,3
brachyrynchos_00056_2.wav,2
brachyrynchos_00057_1.wav,4
brachyrynchos_00057_2.wav,8
brachyrynchos_00057_3.wav,4
brachyrynchos_00057_4.wav,6
brachyrynchos_00057_5.wav,11
brachyrynchos_00057_6.wav,6
brachyrynchos_00058_1.wav,1
brachyrynchos_00058_2.wav,1
brachyrynchos_00060_1.wav,3
brachyrynchos_00060_2.wav,15
brachyrynchos_00060_3.wav,7
brachyrynchos_00060_4.wav,3
brachyrynchos_00060_5.wav,6
brachyrynchos_00060_6.wav,10
brachyrynchos_00060_7.wav,8
brachyrynchos_00062_1.wav,2
brachyrynchos_00062_2.wav,25
brachyrynchos_00063_1.wav,2
brachyrynchos_00063_2.wav,39
brachyrynchos_00063_3.wav,4
brachyrynchos_00063_4.wav,2
brachyrynchos_00064_1.wav,7
brachyrynchos_00065_1.wav,2
brachyrynchos_00065_2.wav,4
brachyrynchos_00065_3.wav,3
brachyrynchos_00065_4.wav,2
brachyrynchos_00065_5.wav,7
brachyrynchos_00065_6.wav,3
brachyrynchos_00065_7.wav,14
brachyrynchos_00065_8.wav,2
brachyrynchos_00066_1.wav,4
brachyrynchos_00066_2.wav,7
brachyrynchos_00066_3.wav,6
brachyrynchos_00066_4.wav,4
brachyrynchos_00066_5.wav,2
brachyrynchos_00066_6.wav,7
brachyrynchos_00066_7.wav,4
brachyrynchos_00067_1.wav,3
brachyrynchos_00067_2.wav,4
brachyrynchos_00068_1.wav,16
brachyrynchos_00068_2.wav,10
brachyrynchos_00068_3.wav,13
brachyrynchos_00069_1.wav,10
brachyrynchos_00069_2.wav,2
brachyrynchos_00069_3.wav,8
brachyrynchos_00069_4.wav,5
brachyrynchos_00069_5.wav,3
brachyrynchos_00069_6.wav,6
brachyrynchos_00069_7.wav,10
brachyrynchos_00070_1.wav,1
brachyrynchos_00072_1.wav,3
brachyrynchos_00073_1.wav,3
brachyrynchos_00073_10.wav,1
brachyrynchos_00073_2.wav,3
brachyrynchos_00073_3.wav,4
brachyrynchos_00073_4.wav,3
brachyrynchos_00073_5.wav,1
brachyrynchos_00073_6.wav,5
brachyrynchos_00073_7.wav,5
brachyrynchos_00073_8.wav,7
brachyrynchos_00073_9.wav,3
brachyrynchos_00074_1.wav,3
brachyrynchos_00074_2.wav,3
brachyrynchos_00074_3.wav,3
brachyrynchos_00074_4.wav,3
brachyrynchos_00074_5.wav,3
brachyrynchos_00075_1.wav,4
brachyrynchos_00075_2.wav,2
brachyrynchos_00076_1.wav,5
brachyrynchos_00076_2.wav,4
brachyrynchos_00077_1.wav,2
brachyrynchos_00078_1.wav,2
brachyrynchos_00079_1.wav,6
brachyrynchos_00079_2.wav,6
brachyrynchos_00080_1.wav,5
brachyrynchos_00080_2.wav,5
brachyrynchos_00082_1.wav,4
brachyrynchos_00082_2.wav,1
brachyrynchos_00083_1.wav,4
brachyrynchos_00084_1.wav,4
brachyrynchos_00085_1.wav,4
brachyrynchos_00086_1.wav,5
brachyrynchos_00086_2.wav,1
brachyrynchos_00087_1.wav,3
brachyrynchos_00088_1.wav,5
brachyrynchos_00088_2.wav,2
brachyrynchos_00088_3.wav,1
brachyrynchos_00088_4.wav,5
brachyrynchos_00089_1.wav,1
brachyrynchos_00090_1.wav,6
brachyrynchos_00090_2.wav,10
brachyrynchos_00090_3.wav,3
brachyrynchos_00090_4.wav,2
brachyrynchos_00090_5.wav,5
brachyrynchos_00090_6.wav,2
brachyrynchos_00090_7.wav,2
brachyrynchos_00091_1.wav,7
brachyrynchos_00091_2.wav,3
brachyrynchos_00091_3.wav,5
brachyrynchos_00091_4.wav,8
brachyrynchos_00091_5.wav,7
brachyrynchos_00092_1.wav,3
brachyrynchos_00093_1.wav,42
brachyrynchos_00094_1.wav,3
brachyrynchos_00095_1.wav,1
brachyrynchos_00096_1.wav,2
brachyrynchos_00097_1.wav,5
brachyrynchos_00098_1.wav,2
brachyrynchos_00098_2.wav,11
brachyrynchos_00098_3.wav,11
brachyrynchos_00098_4.wav,4
brachyrynchos_00100_1.wav,3
brachyrynchos_00100_2.wav,4
brachyrynchos_00100_3.wav,3
brachyrynchos_00100_4.wav,3
brachyrynchos_00100_5.wav,4
brachyrynchos_00103_1.wav,4
brachyrynchos_00104_1.wav,4
brachyrynchos_00106_1.wav,7
brachyrynchos_00107_1.wav,6
brachyrynchos_00108_1.wav,7
brachyrynchos_00108_2.wav,12
brachyrynchos_00108_3.wav,4
brachyrynchos_00108_4.wav,2
brachyrynchos_00108_5.wav,1
brachyrynchos_00108_6.wav,5
brachyrynchos_00108_7.wav,6
brachyrynchos_00108_8.wav,2
brachyrynchos_00108_9.wav,7
