File,Gaussian_Peak_Count
corax_00002_1.wav,1
corax_00002_2.wav,5
corax_00005_1.wav,2
corax_00005_2.wav,6
corax_00007_1.wav,1
corax_00008_1.wav,1
corax_00009_1.wav,9
corax_00015_1.wav,2
corax_00016_1.wav,11
corax_00019_1.wav,1
corax_00019_2.wav,1
corax_00022_1.wav,2
corax_00024_1.wav,4
corax_00024_2.wav,2
corax_00026_1.wav,1
corax_00027_1.wav,4
corax_00027_2.wav,3
corax_00028_1.wav,3
corax_00029_1.wav,2
corax_00029_2.wav,3
corax_00030_1.wav,2
corax_00030_2.wav,3
corax_00031_1.wav,2
corax_00031_2.wav,1
corax_00034_1.wav,3
corax_00034_2.wav,3
corax_00034_3.wav,1
corax_00035_1.wav,4
corax_00035_2.wav,3
corax_00036_1.wav,1
corax_00038_1.wav,1
corax_00038_2.wav,1
corax_00040_1.wav,3
corax_00040_2.wav,19
corax_00042_1.wav,1
corax_00044_1.wav,1
corax_00044_2.wav,2
corax_00044_3.wav,4
corax_00046_1.wav,2
corax_00047_1.wav,1
corax_00047_2.wav,2
corax_00047_3.wav,1
corax_00048_1.wav,2
corax_00048_2.wav,1
corax_00048_3.wav,1
corax_00049_1.wav,1
corax_00049_2.wav,1
corax_00049_3.wav,2
corax_00049_4.wav,2
corax_00049_5.wav,1
corax_00050_1.wav,1
corax_00051_1.wav,3
corax_00051_2.wav,2
corax_00051_3.wav,1
corax_00052_1.wav,1
corax_00052_2.wav,1
corax_00052_3.wav,1
corax_00053_1.wav,5
corax_00054_1.wav,2
corax_00056_1.wav,2
corax_00056_2.wav,1
corax_00056_3.wav,1
corax_00057_1.wav,1
corax_00058_1.wav,2
corax_00059_1.wav,2
corax_00059_2.wav,2
corax_00059_3.wav,1
corax_00060_1.wav,1
corax_00060_2.wav,1
corax_00061_1.wav,4
corax_00062_1.wav,4
corax_00064_1.wav,1
corax_00064_2.wav,1
corax_00064_3.wav,1
corax_00064_4.wav,1
corax_00064_5.wav,1
corax_00066_1.wav,7
corax_00066_2.wav,1
corax_00066_3.wav,1
corax_00066_4.wav,7
corax_00066_5.wav,3
corax_00066_6.wav,3
corax_00066_7.wav,3
corax_00066_8.wav,4
corax_00068_1.wav,2
corax_00068_2.wav,1
corax_00070_1.wav,2
corax_00071_1.wav,3
corax_00072_1.wav,2
corax_00073_1.wav,2
corax_00073_2.wav,5
corax_00073_3.wav,2
corax_00073_4.wav,5
corax_00074_1.wav,1
corax_00074_2.wav,1
corax_00074_3.wav,2
corax_00074_4.wav,2
corax_00074_5.wav,1
corax_00074_6.wav,6
corax_00074_7.wav,1
corax_00077_1.wav,1
corax_00077_2.wav,2
corax_00077_3.wav,1
corax_00077_4.wav,1
corax_00077_5.wav,0
corax_00077_6.wav,2
corax_00078_1.wav,4
corax_00079_1.wav,2
corax_00080_1.wav,1
corax_00080_2.wav,2
corax_00080_3.wav,3
corax_00080_4.wav,1
corax_00080_5.wav,1
corax_00080_6.wav,5
corax_00080_7.wav,3
corax_00083_1.wav,3
corax_00084_1.wav,2
corax_00085_1.wav,1
corax_00085_2.wav,2
corax_00085_3.wav,2
corax_00085_4.wav,3
corax_00085_5.wav,1
corax_00085_6.wav,2
corax_00086_1.wav,3
corax_00086_2.wav,1
corax_00086_3.wav,1
corax_00086_4.wav,2
corax_00088_1.wav,3
corax_00088_2.wav,4
corax_00088_3.wav,1
corax_00088_4.wav,3
corax_00089_1.wav,1
corax_00089_2.wav,2
corax_00089_3.wav,1
corax_00089_4.wav,4
corax_00090_1.wav,3
corax_00090_2.wav,3
corax_00090_3.wav,3
corax_00090_4.wav,4
corax_00091_1.wav,4
corax_00091_2.wav,1
corax_00091_3.wav,5
corax_00093_1.wav,1
corax_00093_2.wav,2
corax_00093_3.wav,3
corax_00093_4.wav,2
corax_00094_1.wav,2
corax_00094_2.wav,2
corax_00094_3.wav,1
corax_00094_4.wav,4
corax_00094_5.wav,6
corax_00096_1.wav,1
corax_00097_1.wav,4
corax_00097_2.wav,5
corax_00097_3.wav,8
corax_00098_1.wav,2
corax_00098_2.wav,1
corax_00098_3.wav,2
corax_00101_1.wav,1
corax_00101_2.wav,4
corax_00101_3.wav,2
corax_00101_4.wav,4
corax_00101_5.wav,1
corax_00101_6.wav,1
corax_00102_1.wav,3
corax_00104_1.wav,4
corax_00104_2.wav,2
corax_00104_3.wav,1
corax_00104_4.wav,1
corax_00104_5.wav,2
corax_00105_1.wav,2
corax_00105_2.wav,3
corax_00109_1.wav,2
corax_00111_1.wav,2
corax_00111_2.wav,2
corax_00111_3.wav,1
corax_00113_1.wav,2
corax_00115_1.wav,4
corax_00115_2.wav,3
corax_00115_3.wav,3
corax_00115_4.wav,2
corax_00116_1.wav,1
corax_00117_1.wav,1
corax_00117_2.wav,1
corax_00117_3.wav,4
corax_00118_1.wav,1
corax_00120_1.wav,1
corax_00122_1.wav,2
corax_00123_1.wav,1
corax_00124_1.wav,2
corax_00125_1.wav,5
corax_00125_2.wav,5
corax_00125_3.wav,5
corax_00125_4.wav,7
corax_00126_1.wav,1
corax_00126_2.wav,2
corax_00127_1.wav,0
corax_00128_1.wav,2
corax_00128_2.wav,3
corax_00131_1.wav,3
corax_00131_2.wav,3
corax_00131_3.wav,2
corax_00131_4.wav,2
corax_00132_1.wav,6
corax_00133_1.wav,3
corax_00134_1.wav,6
corax_00136_1.wav,2
corax_00136_2.wav,0
corax_00136_3.wav,1
corax_00136_4.wav,1
corax_00136_5.wav,1
corax_00136_6.wav,1
corax_00136_7.wav,1
corax_00136_8.wav,1
corax_00137_1.wav,1
corax_00137_2.wav,1
corax_00137_3.wav,2
corax_00138_1.wav,2
corax_00140_1.wav,2
corax_00140_2.wav,2
corax_00140_3.wav,2
corax_00141_1.wav,2
corax_00142_1.wav,1
corax_00145_1.wav,1
corax_00145_2.wav,1
corax_00146_1.wav,4
corax_00146_2.wav,2
corax_00146_3.wav,1
corax_00146_4.wav,2
corax_00146_5.wav,3
corax_00147_1.wav,3
corax_00147_2.wav,1
corax_00147_3.wav,1
corax_00147_4.wav,1
corax_00148_1.wav,1
corax_00149_1.wav,1
corax_00151_1.wav,1
corax_00151_2.wav,5
corax_00152_1.wav,2
corax_00155_1.wav,6
corax_00156_1.wav,2
corax_00161_1.wav,2
corax_00161_2.wav,3
corax_00161_3.wav,3
corax_00161_4.wav,3
corax_00162_1.wav,1
corax_00162_2.wav,1
corax_00163_1.wav,2
corax_00163_2.wav,4
corax_00163_3.wav,4
corax_00163_4.wav,9
corax_00164_1.wav,2
corax_00164_2.wav,1
corax_00164_3.wav,2
corax_00166_1.wav,3
corax_00166_2.wav,2
corax_00168_1.wav,3
corax_00168_2.wav,2
corax_00171_1.wav,1
corax_00171_2.wav,1
corax_00171_3.wav,1
corax_00171_4.wav,2
corax_00171_5.wav,1
corax_00174_1.wav,2
corax_00174_2.wav,2
corax_00174_3.wav,1
corax_00175_1.wav,2
corax_00175_2.wav,2
corax_00175_3.wav,2
corax_00175_4.wav,2
corax_00177_1.wav,6
corax_00177_2.wav,1
corax_00177_3.wav,2
corax_00177_4.wav,4
corax_00177_5.wav,2
corax_00177_6.wav,0
corax_00178_1.wav,3
corax_00178_2.wav,2
corax_00178_3.wav,1
corax_00178_4.wav,2
corax_00178_5.wav,1
corax_00178_6.wav,2
corax_00178_7.wav,2
corax_00179_1.wav,1
corax_00182_1.wav,2
corax_00184_1.wav,1
corax_00184_2.wav,1
corax_00185_1.wav,6
corax_00185_2.wav,3
corax_00185_3.wav,3
corax_00186_1.wav,1
corax_00186_2.wav,1
corax_00186_3.wav,5
corax_00186_4.wav,2
corax_00187_1.wav,2
corax_00189_1.wav,2
corax_00189_2.wav,1
corax_00189_3.wav,0
corax_00189_4.wav,0
corax_00189_5.wav,3
corax_00190_1.wav,2
corax_00190_2.wav,1
corax_00190_3.wav,4
corax_00190_4.wav,3
corax_00190_5.wav,2
corax_00190_6.wav,3
corax_00190_7.wav,3
corax_00193_1.wav,2
corax_00193_2.wav,3
corax_00193_3.wav,1
corax_00195_1.wav,6
corax_00195_2.wav,1
