File,Gaussian_Peak_Count
cornix_00001_1.wav,1
cornix_00001_2.wav,4
cornix_00001_3.wav,2
cornix_00001_4.wav,2
cornix_00002_1.wav,3
cornix_00003_1.wav,1
cornix_00004_1.wav,3
cornix_00006_1.wav,1
cornix_00006_2.wav,1
cornix_00008_1.wav,3
cornix_00008_2.wav,2
cornix_00009_1.wav,1
cornix_00010_1.wav,6
cornix_00011_1.wav,1
cornix_00013_1.wav,2
cornix_00013_2.wav,1
cornix_00013_3.wav,1
cornix_00014_1.wav,3
cornix_00014_2.wav,1
cornix_00014_3.wav,4
cornix_00015_1.wav,2
cornix_00015_2.wav,5
cornix_00015_3.wav,5
cornix_00015_4.wav,5
cornix_00016_1.wav,6
cornix_00017_1.wav,2
cornix_00018_1.wav,6
cornix_00019_1.wav,2
cornix_00019_2.wav,2
cornix_00019_3.wav,2
cornix_00019_4.wav,2
cornix_00020_1.wav,4
cornix_00020_2.wav,2
cornix_00020_3.wav,2
cornix_00020_4.wav,4
cornix_00020_5.wav,2
cornix_00023_1.wav,1
cornix_00023_2.wav,4
cornix_00023_3.wav,1
cornix_00023_4.wav,1
cornix_00023_5.wav,2
cornix_00023_6.wav,3
cornix_00024_1.wav,5
cornix_00024_2.wav,2
cornix_00025_1.wav,6
cornix_00026_1.wav,3
cornix_00026_2.wav,1
cornix_00027_1.wav,4
cornix_00028_1.wav,3
cornix_00029_1.wav,3
cornix_00029_2.wav,2
cornix_00029_3.wav,3
cornix_00029_4.wav,2
cornix_00029_5.wav,5
cornix_00029_6.wav,3
cornix_00029_7.wav,3
cornix_00030_1.wav,4
cornix_00031_1.wav,2
cornix_00031_2.wav,0
cornix_00031_3.wav,2
cornix_00031_4.wav,1
cornix_00031_5.wav,0
cornix_00031_6.wav,4
cornix_00032_1.wav,3
cornix_00032_2.wav,7
cornix_00033_1.wav,3
cornix_00033_2.wav,4
cornix_00033_3.wav,4
cornix_00033_4.wav,4
cornix_00033_5.wav,3
cornix_00033_6.wav,2
cornix_00033_7.wav,2
cornix_00033_8.wav,4
cornix_00033_9.wav,1
cornix_00036_1.wav,4
cornix_00037_1.wav,4
cornix_00038_1.wav,4
cornix_00039_1.wav,3
cornix_00040_1.wav,5
cornix_00040_2.wav,1
cornix_00040_3.wav,2
cornix_00040_4.wav,2
cornix_00040_5.wav,6
cornix_00041_1.wav,3
cornix_00041_2.wav,1
cornix_00041_3.wav,1
cornix_00041_4.wav,2
cornix_00041_5.wav,2
cornix_00042_1.wav,3
cornix_00042_2.wav,7
cornix_00043_1.wav,2
cornix_00044_1.wav,5
cornix_00046_1.wav,4
cornix_00046_2.wav,7
cornix_00046_3.wav,4
cornix_00046_4.wav,2
cornix_00046_5.wav,1
cornix_00046_6.wav,7
cornix_00047_1.wav,2
cornix_00047_2.wav,3
cornix_00048_1.wav,4
cornix_00048_2.wav,5
cornix_00048_3.wav,3
cornix_00050_1.wav,3
cornix_00050_2.wav,3
cornix_00050_3.wav,7
cornix_00051_1.wav,2
cornix_00051_2.wav,7
cornix_00051_3.wav,5
cornix_00052_1.wav,2
cornix_00052_2.wav,1
cornix_00052_3.wav,4
cornix_00053_1.wav,2
cornix_00055_1.wav,2
cornix_00056_1.wav,5
cornix_00056_2.wav,2
cornix_00056_3.wav,1
cornix_00056_4.wav,2
cornix_00056_5.wav,2
cornix_00056_6.wav,2
cornix_00056_7.wav,2
cornix_00057_1.wav,1
cornix_00057_2.wav,5
cornix_00057_3.wav,4
cornix_00057_4.wav,4
cornix_00057_5.wav,4
cornix_00057_6.wav,1
cornix_00057_7.wav,4
cornix_00057_8.wav,3
cornix_00058_1.wav,4
cornix_00059_1.wav,6
cornix_00060_1.wav,5
cornix_00060_2.wav,4
cornix_00061_1.wav,3
cornix_00062_1.wav,8
cornix_00063_1.wav,4
cornix_00064_1.wav,4
cornix_00065_1.wav,4
cornix_00065_2.wav,2
cornix_00066_1.wav,2
cornix_00067_1.wav,4
cornix_00068_1.wav,3
cornix_00068_2.wav,2
cornix_00068_3.wav,1
cornix_00068_4.wav,2
cornix_00068_5.wav,3
cornix_00069_1.wav,4
cornix_00070_1.wav,4
cornix_00071_1.wav,2
cornix_00071_2.wav,3
cornix_00071_3.wav,2
cornix_00071_4.wav,6
cornix_00071_5.wav,4
cornix_00071_6.wav,4
cornix_00071_7.wav,2
cornix_00072_1.wav,2
cornix_00072_2.wav,4
cornix_00073_1.wav,1
cornix_00073_2.wav,1
cornix_00073_3.wav,1
cornix_00073_4.wav,1
cornix_00073_5.wav,1
cornix_00073_6.wav,1
cornix_00075_1.wav,6
cornix_00076_1.wav,6
cornix_00077_1.wav,1
cornix_00080_1.wav,2
cornix_00081_1.wav,2
cornix_00081_2.wav,1
cornix_00081_3.wav,2
cornix_00082_1.wav,2
cornix_00085_1.wav,4
cornix_00086_1.wav,3
cornix_00086_2.wav,3
cornix_00086_3.wav,4
cornix_00087_1.wav,2
cornix_00087_2.wav,2
cornix_00088_1.wav,3
cornix_00088_2.wav,6
cornix_00088_3.wav,2
cornix_00088_4.wav,7
cornix_00088_5.wav,2
cornix_00089_1.wav,6
cornix_00090_1.wav,2
cornix_00090_2.wav,4
cornix_00090_3.wav,7
cornix_00091_1.wav,2
cornix_00094_1.wav,6
cornix_00095_1.wav,4
cornix_00095_10.wav,1
cornix_00095_11.wav,1
cornix_00095_12.wav,1
cornix_00095_13.wav,1
cornix_00095_14.wav,1
cornix_00095_15.wav,1
cornix_00095_16.wav,1
cornix_00095_17.wav,1
cornix_00095_18.wav,1
cornix_00095_19.wav,1
cornix_00095_2.wav,1
cornix_00095_20.wav,1
cornix_00095_21.wav,1
cornix_00095_22.wav,1
cornix_00095_3.wav,1
cornix_00095_4.wav,1
cornix_00095_5.wav,1
cornix_00095_6.wav,1
cornix_00095_7.wav,2
cornix_00095_8.wav,1
cornix_00095_9.wav,1
cornix_00096_1.wav,2
cornix_00097_1.wav,6
cornix_00097_2.wav,6
cornix_00098_1.wav,1
cornix_00098_2.wav,4
cornix_00098_3.wav,2
cornix_00098_4.wav,2
cornix_00098_5.wav,3
cornix_00098_6.wav,1
cornix_00098_7.wav,3
cornix_00098_8.wav,2
cornix_00099_1.wav,2
cornix_00100_1.wav,3
cornix_00100_2.wav,4
cornix_00100_3.wav,2
cornix_00101_1.wav,2
cornix_00101_2.wav,3
cornix_00101_3.wav,0
cornix_00102_1.wav,7
cornix_00102_2.wav,1
cornix_00102_3.wav,1
cornix_00102_4.wav,2
cornix_00102_5.wav,2
cornix_00102_6.wav,1
cornix_00103_1.wav,2
cornix_00104_1.wav,4
cornix_00104_2.wav,4
cornix_00104_3.wav,2
cornix_00105_1.wav,3
cornix_00105_2.wav,2
cornix_00106_1.wav,7
cornix_00107_1.wav,4
cornix_00108_1.wav,2
cornix_00108_2.wav,2
cornix_00108_3.wav,1
cornix_00108_4.wav,1
cornix_00109_1.wav,3
cornix_00109_2.wav,2
cornix_00110_1.wav,2
cornix_00110_2.wav,7
cornix_00111_1.wav,1
cornix_00111_2.wav,1
