File,Gaussian_Peak_Count
corone_00001_1.wav,2
corone_00002_1.wav,6
corone_00004_1.wav,3
corone_00005_1.wav,4
corone_00006_1.wav,2
corone_00008_1.wav,2
corone_00008_2.wav,3
corone_00010_1.wav,7
corone_00011_1.wav,3
corone_00011_2.wav,2
corone_00012_1.wav,6
corone_00013_1.wav,3
corone_00014_1.wav,4
corone_00015_1.wav,5
corone_00016_1.wav,1
corone_00016_2.wav,2
corone_00016_3.wav,2
corone_00017_1.wav,2
corone_00018_1.wav,8
corone_00018_2.wav,4
corone_00018_3.wav,2
corone_00019_1.wav,3
corone_00020_1.wav,2
corone_00021_1.wav,1
corone_00021_2.wav,2
corone_00022_1.wav,4
corone_00023_1.wav,5
corone_00023_2.wav,2
corone_00024_1.wav,2
corone_00026_1.wav,2
corone_00026_2.wav,5
corone_00027_1.wav,4
corone_00027_2.wav,2
corone_00028_1.wav,4
corone_00029_1.wav,3
corone_00030_1.wav,5
corone_00031_1.wav,2
corone_00032_1.wav,4
corone_00033_1.wav,3
corone_00034_1.wav,6
corone_00037_1.wav,7
corone_00038_1.wav,4
corone_00038_2.wav,2
corone_00039_1.wav,5
corone_00040_1.wav,2
corone_00041_1.wav,2
corone_00042_1.wav,7
corone_00043_1.wav,6
corone_00044_1.wav,9
corone_00045_1.wav,2
corone_00046_1.wav,5
corone_00047_1.wav,3
corone_00048_1.wav,3
corone_00049_1.wav,3
corone_00050_1.wav,2
corone_00051_1.wav,10
corone_00052_1.wav,7
corone_00053_1.wav,3
corone_00054_1.wav,1
corone_00054_2.wav,2
corone_00054_3.wav,1
corone_00055_1.wav,3
corone_00055_2.wav,0
corone_00057_1.wav,2
corone_00058_1.wav,7
corone_00059_1.wav,4
corone_00060_1.wav,3
corone_00061_1.wav,9
corone_00062_1.wav,2
corone_00062_2.wav,2
corone_00062_3.wav,5
corone_00063_1.wav,1
corone_00064_1.wav,3
corone_00064_2.wav,4
corone_00065_1.wav,1
corone_00065_2.wav,1
corone_00066_1.wav,5
corone_00067_1.wav,3
corone_00068_1.wav,3
corone_00069_1.wav,1
corone_00069_2.wav,2
corone_00070_1.wav,4
corone_00071_1.wav,4
corone_00072_1.wav,3
corone_00072_2.wav,2
corone_00074_1.wav,1
corone_00074_2.wav,2
corone_00074_3.wav,2
corone_00074_4.wav,1
corone_00075_1.wav,1
corone_00076_1.wav,2
corone_00076_2.wav,2
corone_00077_1.wav,3
corone_00079_1.wav,1
corone_00080_1.wav,6
corone_00081_1.wav,3
corone_00082_1.wav,4
corone_00083_1.wav,1
corone_00083_2.wav,3
corone_00084_1.wav,1
corone_00085_1.wav,2
corone_00085_2.wav,1
corone_00085_3.wav,3
corone_00086_1.wav,15
corone_00087_1.wav,1
corone_00087_2.wav,1
corone_00087_3.wav,3
corone_00087_4.wav,4
corone_00087_5.wav,3
corone_00089_1.wav,4
corone_00090_1.wav,8
corone_00091_1.wav,8
corone_00091_2.wav,2
corone_00092_1.wav,1
corone_00092_2.wav,1
corone_00092_3.wav,1
corone_00092_4.wav,1
corone_00092_5.wav,2
corone_00094_1.wav,5
corone_00095_1.wav,8
corone_00096_1.wav,6
corone_00096_2.wav,8
corone_00097_1.wav,5
corone_00098_1.wav,2
corone_00098_2.wav,1
corone_00099_1.wav,2
corone_00099_2.wav,3
corone_00101_1.wav,2
corone_00102_1.wav,5
corone_00104_1.wav,1
corone_00106_1.wav,2
corone_00106_2.wav,5
corone_00106_3.wav,3
corone_00107_1.wav,1
corone_00108_1.wav,5
corone_00109_1.wav,4
corone_00110_1.wav,1
corone_00110_2.wav,2
corone_00111_1.wav,3
corone_00111_2.wav,1
corone_00111_3.wav,5
corone_00112_1.wav,3
corone_00112_2.wav,4
corone_00113_1.wav,1
corone_00114_1.wav,7
corone_00114_2.wav,8
corone_00115_1.wav,4
corone_00115_2.wav,4
corone_00116_1.wav,3
corone_00117_1.wav,1
corone_00117_2.wav,3
corone_00118_1.wav,4
corone_00118_2.wav,2
corone_00118_3.wav,3
corone_00120_1.wav,1
corone_00122_1.wav,5
corone_00123_1.wav,1
corone_00123_2.wav,1
corone_00124_1.wav,2
corone_00125_1.wav,9
corone_00127_1.wav,1
corone_00128_1.wav,3
corone_00129_1.wav,2
corone_00130_1.wav,3
corone_00130_2.wav,2
corone_00131_1.wav,2
corone_00131_2.wav,3
corone_00132_1.wav,6
