File,Gaussian_Peak_Count
ossifragus_00002_1.wav,4
ossifragus_00005_1.wav,5
ossifragus_00006_1.wav,1
ossifragus_00006_2.wav,1
ossifragus_00008_1.wav,2
ossifragus_00008_2.wav,5
ossifragus_00010_1.wav,2
ossifragus_00010_2.wav,2
ossifragus_00012_1.wav,1
ossifragus_00013_1.wav,3
ossifragus_00014_1.wav,2
ossifragus_00015_1.wav,4
ossifragus_00018_1.wav,5
ossifragus_00019_1.wav,1
ossifragus_00019_2.wav,3
ossifragus_00020_1.wav,1
ossifragus_00021_1.wav,20
ossifragus_00022_1.wav,10
ossifragus_00023_1.wav,1
ossifragus_00024_1.wav,4
ossifragus_00025_1.wav,9
ossifragus_00026_1.wav,4
ossifragus_00028_1.wav,2
ossifragus_00029_1.wav,1
ossifragus_00031_1.wav,2
ossifragus_00031_2.wav,1
ossifragus_00031_3.wav,1
ossifragus_00031_4.wav,1
ossifragus_00032_1.wav,2
ossifragus_00032_2.wav,2
ossifragus_00032_3.wav,1
ossifragus_00033_1.wav,1
ossifragus_00033_2.wav,3
ossifragus_00034_1.wav,2
ossifragus_00035_1.wav,3
ossifragus_00035_2.wav,3
ossifragus_00035_3.wav,2
ossifragus_00035_4.wav,1
ossifragus_00036_1.wav,2
ossifragus_00036_2.wav,2
ossifragus_00036_3.wav,2
ossifragus_00036_4.wav,2
ossifragus_00036_5.wav,2
ossifragus_00037_1.wav,2
ossifragus_00037_2.wav,4
ossifragus_00038_1.wav,2
ossifragus_00038_2.wav,3
ossifragus_00038_3.wav,4
ossifragus_00039_1.wav,1
ossifragus_00039_2.wav,2
ossifragus_00039_3.wav,5
ossifragus_00039_4.wav,4
ossifragus_00039_5.wav,2
ossifragus_00039_6.wav,3
ossifragus_00040_1.wav,1
ossifragus_00040_2.wav,2
ossifragus_00040_3.wav,1
ossifragus_00040_4.wav,2
ossifragus_00040_5.wav,2
ossifragus_00040_6.wav,2
ossifragus_00040_7.wav,1
ossifragus_00042_1.wav,2
ossifragus_00042_2.wav,2
ossifragus_00043_1.wav,7
ossifragus_00044_1.wav,7
ossifragus_00044_2.wav,3
ossifragus_00044_3.wav,4
ossifragus_00044_4.wav,4
ossifragus_00044_5.wav,2
ossifragus_00044_6.wav,7
ossifragus_00046_1.wav,2
ossifragus_00046_2.wav,4
ossifragus_00047_1.wav,4
ossifragus_00048_1.wav,3
ossifragus_00048_2.wav,3
ossifragus_00048_3.wav,3
ossifragus_00048_4.wav,1
ossifragus_00048_5.wav,2
ossifragus_00048_6.wav,2
ossifragus_00049_1.wav,1
ossifragus_00049_2.wav,1
ossifragus_00049_3.wav,2
ossifragus_00050_1.wav,2
ossifragus_00050_2.wav,2
ossifragus_00051_1.wav,3
ossifragus_00052_1.wav,2
ossifragus_00052_2.wav,1
ossifragus_00053_1.wav,3
ossifragus_00053_2.wav,1
ossifragus_00053_3.wav,6
ossifragus_00053_4.wav,2
ossifragus_00053_5.wav,7
ossifragus_00054_1.wav,2
ossifragus_00055_1.wav,1
ossifragus_00057_1.wav,4
ossifragus_00058_1.wav,2
ossifragus_00058_2.wav,2
ossifragus_00058_3.wav,2
ossifragus_00058_4.wav,2
ossifragus_00058_5.wav,3
ossifragus_00059_1.wav,6
ossifragus_00060_1.wav,2
ossifragus_00060_2.wav,2
ossifragus_00061_1.wav,5
ossifragus_00061_2.wav,1
ossifragus_00061_3.wav,5
ossifragus_00061_4.wav,2
ossifragus_00061_5.wav,3
ossifragus_00063_1.wav,11
ossifragus_00063_2.wav,9
ossifragus_00063_3.wav,2
ossifragus_00064_1.wav,1
ossifragus_00064_2.wav,1
ossifragus_00064_3.wav,1
ossifragus_00064_4.wav,1
ossifragus_00064_5.wav,1
ossifragus_00064_6.wav,1
ossifragus_00065_1.wav,1
ossifragus_00065_2.wav,2
ossifragus_00066_1.wav,2
ossifragus_00068_1.wav,5
ossifragus_00068_2.wav,8
ossifragus_00068_3.wav,4
ossifragus_00068_4.wav,4
ossifragus_00069_1.wav,1
ossifragus_00070_1.wav,2
ossifragus_00071_1.wav,3
ossifragus_00071_2.wav,1
ossifragus_00073_1.wav,3
ossifragus_00073_2.wav,2
ossifragus_00073_3.wav,2
ossifragus_00073_4.wav,2
ossifragus_00073_5.wav,3
ossifragus_00073_6.wav,2
ossifragus_00073_7.wav,1
ossifragus_00073_8.wav,3
ossifragus_00073_9.wav,2
ossifragus_00074_1.wav,2
ossifragus_00074_2.wav,4
ossifragus_00074_3.wav,4
ossifragus_00077_1.wav,3
ossifragus_00077_2.wav,2
ossifragus_00077_3.wav,3
ossifragus_00077_4.wav,5
ossifragus_00077_5.wav,4
ossifragus_00077_6.wav,4
ossifragus_00077_7.wav,3
ossifragus_00079_1.wav,2
ossifragus_00079_2.wav,5
ossifragus_00079_3.wav,4
ossifragus_00080_1.wav,1
ossifragus_00080_2.wav,1
ossifragus_00080_3.wav,1
ossifragus_00080_4.wav,1
ossifragus_00081_1.wav,2
ossifragus_00081_2.wav,1
ossifragus_00081_3.wav,2
ossifragus_00081_4.wav,1
ossifragus_00081_5.wav,1
ossifragus_00081_6.wav,1
ossifragus_00081_7.wav,5
ossifragus_00082_1.wav,2
ossifragus_00082_2.wav,4
ossifragus_00084_1.wav,5
ossifragus_00085_1.wav,0
ossifragus_00085_2.wav,1
ossifragus_00085_3.wav,2
ossifragus_00085_4.wav,1
ossifragus_00085_5.wav,1
ossifragus_00085_6.wav,7
ossifragus_00086_1.wav,2
ossifragus_00088_1.wav,2
ossifragus_00088_2.wav,2
ossifragus_00088_3.wav,2
ossifragus_00089_1.wav,2
ossifragus_00090_1.wav,2
ossifragus_00090_2.wav,3
ossifragus_00090_3.wav,2
ossifragus_00090_4.wav,1
ossifragus_00090_5.wav,4
ossifragus_00090_6.wav,3
ossifragus_00091_1.wav,3
ossifragus_00091_2.wav,1
ossifragus_00094_1.wav,2
ossifragus_00094_2.wav,1
ossifragus_00094_3.wav,3
ossifragus_00094_4.wav,9
ossifragus_00094_5.wav,4
ossifragus_00094_6.wav,2
ossifragus_00094_7.wav,1
ossifragus_00094_8.wav,6
ossifragus_00095_1.wav,5
ossifragus_00095_2.wav,2
ossifragus_00096_1.wav,3
ossifragus_00096_2.wav,1
ossifragus_00097_1.wav,2
ossifragus_00098_1.wav,4
ossifragus_00098_2.wav,1
ossifragus_00098_3.wav,2
ossifragus_00098_4.wav,4
ossifragus_00098_5.wav,3
ossifragus_00099_1.wav,2
ossifragus_00099_2.wav,5
ossifragus_00099_3.wav,2
ossifragus_00099_4.wav,2
ossifragus_00100_1.wav,1
ossifragus_00101_1.wav,1
ossifragus_00102_1.wav,2
ossifragus_00102_2.wav,3
ossifragus_00102_3.wav,1
ossifragus_00103_1.wav,5
ossifragus_00103_10.wav,4
ossifragus_00103_2.wav,1
ossifragus_00103_3.wav,4
ossifragus_00103_4.wav,5
ossifragus_00103_5.wav,3
ossifragus_00103_6.wav,1
ossifragus_00103_7.wav,1
ossifragus_00103_8.wav,1
ossifragus_00103_9.wav,2
ossifragus_00104_1.wav,3
ossifragus_00104_2.wav,4
ossifragus_00104_3.wav,1
ossifragus_00104_4.wav,8
ossifragus_00105_1.wav,2
ossifragus_00105_2.wav,1
ossifragus_00105_3.wav,1
ossifragus_00106_1.wav,2
ossifragus_00106_2.wav,2
ossifragus_00106_3.wav,2
ossifragus_00106_4.wav,2
ossifragus_00107_1.wav,1
ossifragus_00107_2.wav,1
ossifragus_00107_3.wav,1
ossifragus_00108_1.wav,1
ossifragus_00108_10.wav,8
ossifragus_00108_11.wav,1
ossifragus_00108_12.wav,7
ossifragus_00108_13.wav,0
ossifragus_00108_2.wav,3
ossifragus_00108_3.wav,1
ossifragus_00108_4.wav,2
ossifragus_00108_5.wav,5
