feature,eta_squared,p_adj,effect_size,Cluster_0,Cluster_1,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_2,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,rf_importance,MeanDecreaseGini,rank_eta,rank_rdmforest,combined_rank
call_length,0.811783468,0,large (>0.14),0.096132268,0.162603595,0.093264112,0.067763771,0.261332344,0.096055528,0.559876831,0.637065204,0.084030572,0.249322515,0.126882709,0.21039943,0.344350528,0.111939982,0.184873646,0.113572098,0.211184077,0.113214017,0.113983274,0.150155881,0.766126536,0.437439695,0.733149997,0.168507351,0.130722478,0.25407106,0.154198793,0.245847143,12430.15879,1,1,2
amplitude_wobble_magnitude,0.343308226,0,large (>0.14),0.069602484,0.083656108,0.055165897,0.046654083,0.075215774,0.148285817,0.163961732,0.192927831,0.070782428,0.157755845,0.081193022,0.087677604,0.16760175,0.043350137,0.133738577,0.069710316,0.157949494,0.074553249,0.088376207,0.106755711,0.12087019,0.237668038,0.200393802,0.102278426,0.103459591,0.101849548,0.063894541,0.131532618,3405.975436,3,2,5
peak_count,0.557939873,0,large (>0.14),0.041844377,0.059273508,0.033688851,0.037313096,0.049902608,0.085836963,0.080150639,0.152894592,0.054514869,0.097650104,0.063683348,0.056665521,0.078061918,0.025252083,0.066326649,0.043680736,0.089048035,0.050080114,0.067651905,0.070116734,0.169231526,0.13418388,0.141930758,0.069489192,0.07097842,0.060336679,0.040569851,0.078875497,2561.742246,2,3,5
amplitude_moment_2,0.055896066,0,small (0.01-0.06),0.045786,0.068422635,0.037149489,0.029727317,0.055505795,0.106081516,0.046845477,0.052047655,0.065686622,0.058917094,0.057244774,0.051925742,0.047782301,0.022672051,0.092068469,0.043911779,0.128729063,0.043880953,0.058023919,0.077212697,0.021204374,0.075784374,0.026493781,0.081568494,0.069909311,0.078766876,0.034080526,0.072899653,2055.138381,7,4,11
pitch_instability,0.152941869,0,large (>0.14),0.029884518,0.048750165,0.026178148,0.023466077,0.043206378,0.053438798,0.039417496,0.064837702,0.038729127,0.046011575,0.043872203,0.039464016,0.039725402,0.019996965,0.050876025,0.033460321,0.054446716,0.034381392,0.04673418,0.054368331,0.051564157,0.052262092,0.055751789,0.052058148,0.051632443,0.049414649,0.025448599,0.045878664,1738.391224,5,8,13
amplitude_moment_3,0.028142601,0,small (0.01-0.06),0.044139643,0.065591547,0.039017445,0.025897299,0.047282805,0.090667051,0.050897555,0.052573893,0.060873024,0.064359469,0.056892912,0.065181744,0.047462198,0.024632538,0.090258257,0.045149234,0.107789194,0.045350248,0.060127914,0.070044555,0.01438144,0.077868462,0.0323658,0.082174647,0.07799392,0.071105142,0.035267358,0.069062773,1953.64471,10,5,15
amplitude_moment_4,0.017711973,8.82851476108274e-315,small (0.01-0.06),0.043804429,0.057116072,0.034789029,0.028049116,0.049992956,0.085018517,0.054904777,0.049653055,0.05701606,0.073369884,0.053556206,0.067562326,0.057303318,0.024486292,0.089250752,0.038755423,0.088112331,0.047677717,0.055173163,0.064121562,0.018769823,0.0719974,0.036625628,0.073034637,0.074338847,0.069447695,0.035345951,0.065405542,1924.503073,11,6,17
amplitude_wobble_frequency,0.008164924,1.12784663543366e-134,trivial (<0.01),0.0373835,0.045250899,0.033693501,0.030921955,0.034137698,0.062526269,0.042898812,0.187135781,0.043281498,0.060434103,0.048258296,0.045323303,0.046103089,0.018528931,0.067095659,0.035364072,0.088381456,0.044949136,0.054873096,0.061582272,0.104702545,0.10549643,0.043728334,0.057155894,0.064216089,0.064153396,0.030620395,0.063348033,2059.869036,14,7,21
f0_5th_percentile,0.039242055,0,small (0.01-0.06),0.024580412,0.038947821,0.040428997,0.018351207,0.034442395,0.033645101,0.016404619,0.032983285,0.029424576,0.033414097,0.029852841,0.028954976,0.023616795,0.028566512,0.037280964,0.026769505,0.039415546,0.029236448,0.03487982,0.055823498,0.012455012,0.029428618,0.009166111,0.038858722,0.036396659,0.031314994,0.023917569,0.031296066,2094.632723,8,14,22
f0_peak_value,0.058959824,0,moderate (0.06-0.14),0.024951966,0.029853431,0.019844003,0.019911861,0.02146999,0.042183619,0.012884078,0.031258483,0.031877838,0.024718437,0.029742604,0.021586574,0.012572098,0.013934046,0.035534894,0.028354618,0.039506132,0.02855869,0.037225322,0.041237671,0.022664297,0.026383735,0.004843316,0.034774576,0.038608104,0.031046965,0.019712356,0.02860776,1837.247822,6,16,22
f0_95th_percentile,0.028695783,0,small (0.01-0.06),0.022354293,0.024433772,0.018520139,0.015942585,0.020488369,0.036502472,0.008416847,0.020728359,0.029073806,0.021332254,0.026795149,0.022131138,0.010066446,0.014878258,0.032153991,0.023661982,0.035084531,0.024806507,0.031225588,0.034787638,0.005577761,0.022154724,0.003034782,0.030384562,0.035075987,0.025230033,0.019940197,0.02478338,1761.950584,9,18,27
pitch_wobble_frequency,0.176678474,0,large (>0.14),0.011950556,0.022873146,0.011235834,0.006889697,0.012484487,0.024236902,0.00786164,0.029014273,0.014150429,0.011764039,0.015268551,0.012084625,0.00714654,0.005303816,0.019283085,0.012257595,0.023047809,0.012915102,0.019145552,0.021857711,0.017047436,0.021749965,0.006365351,0.022005481,0.018042451,0.021759414,0.005633111,0.016537915,977.1446799,4,24,28
